competition,country,gender,link,mark,name,position,sport
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:34:36,Garrett BURGER,124,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:34:53,Evgeniy PANZHINSKIY,125,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,GBR,M,,2:34:57,Jack LETSON,126,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,JPN,M,,2:35:12,Hiroki NAKAJIMA,127,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:35:14,Sean O'LEARY,128,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:35:16,Josh TIERNEY,129,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:35:17,Brett BERNACCHI,130,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:35:36,Darryl BROWN,131,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:36:19,Sandor AXELROD,132,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:37:39,Eric HOFFMAN,133,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:37:41,Jeff ZEHA,134,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:37:57,Brian BUTCHER,135,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:38:32,Cameron RIEGER,136,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:39:08,Brett DAVIDSON,137,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:39:42,Roger PINON,138,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:39:43,Matt SEIDEL,139,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,JPN,M,,2:40:12,Shota NAKAMURA,140,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:40:36,Adam WALDUM,141,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,RSA,M,,2:41:32,Nick BESTER,142,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:41:45,Matt HASSETT,143,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:42:50,Jerry GREENLAW,144,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:43:25,Daniel GAGNE,145,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:44:14,Richard POWELL,146,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:44:25,Albert WINT,147,Marathon
