BIB,country,link,mark,name,position
961,KGZ,https://www.worldathletics.org/athletes/kirghizistan/mariya-korobitskaya-14478639,2:47:53,Mariya KOROBITSKAYA,94
612,ECU,https://www.worldathletics.org/athletes/ecuador/silvia-paredes-14262284,2:48:01,Silvia PAREDES,95
1164,RSA,https://www.worldathletics.org/athletes/south-africa/christine-kalmer-14296452,2:48:24,Christine KALMER,96
635,EST,https://www.worldathletics.org/athletes/estonia/lily-luik-14478987,2:48:29,Lily LUIK,97
1000,MAW,https://www.worldathletics.org/athletes/malawi/tereza-master-14290871,2:48:34,Tereza MASTER,98
609,ECU,https://www.worldathletics.org/athletes/ecuador/maria-elena-calle-14307072,2:48:39,Maria-Elena CALLE,99
610,ECU,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,2:48:52,Rosa CHACHA,100
1161,ROU,https://www.worldathletics.org/athletes/romania/paula-todoran-14295985,2:48:54,Paula-Claudia TODORAN,101
570,CUB,https://www.worldathletics.org/athletes/cuba/dailin-belmonte-14263683,2:48:58,Dailín BELMONTE,102
804,GRE,https://www.worldathletics.org/athletes/greece/sofia-riga-14376496,2:49:07,Sofía RÍGA,103
563,CRO,https://www.worldathletics.org/athletes/croatia/matea-matošević-14263772,2:50:00,Matea MATOSEVIĆ,104
509,CHI,https://www.worldathletics.org/athletes/chile/erika-alejandra-de-la-fuente-14269220,2:50:29,Erika Alejandra DE LA FUENTE,105
971,LAT,https://www.worldathletics.org/athletes/latvia/ariana-hilborn-14386291,2:50:51,Ariana Kira HILBORNA,106
1216,SVK,https://www.worldathletics.org/athletes/slovak-republic/katarína-pejpkova-berešová-14301373,2:50:54,Katarina BÉREŠOVÁ,107
460,BUL,https://www.worldathletics.org/athletes/bulgaria/militsa-mircheva-14468897,2:51:06,Militsa MIRCHEVA,108
983,LBN,https://www.worldathletics.org/athletes/lebanon/chirine-njeim-14546972,2:51:08,Chirine NJEIM,109
311,ARG,https://www.worldathletics.org/athletes/argentina/rosa-godoy-14272651,2:52:31,Rosa GODOY,110
