competition,country,link,mark,name,position
maratonafem2016,PAR,https://www.worldathletics.org/athletes/paraguay/carmen-patricia-martinez-aguilar-14380340,2:56:43,Carmen Patricia MARTÍNEZ,115
maratonafem2016,BIH,https://www.worldathletics.org/athletes/bosniaherzegovina/lucia-mwihaki-kimani-14270036,2:58:22,Lucia Mwihaki KIMANI,116
maratonafem2016,BOL,https://www.worldathletics.org/athletes/bolivia/rosmery-quispe-guarachi-14940588,2:58:32,Rosemary QUISPE,117
maratonafem2016,GRE,https://www.worldathletics.org/athletes/greece/panayiota-vlahaki-14715772,2:59:12,Panayióta VLAHÁKI,118
maratonafem2016,CRO,https://www.worldathletics.org/athletes/croatia/marija-vrajić-trošić-14263714,2:59:24,Marija VRAJIC,119
maratonafem2016,IND,https://www.worldathletics.org/athletes/india/kavita-tungar-14283028,2:59:29,Kavita TUNGAR,120
maratonafem2016,TAN,https://www.worldathletics.org/athletes/tanzania/sara-ramadhani-14302629,3:00:03,Sara RAMADHANI,121
maratonafem2016,KAZ,https://www.worldathletics.org/athletes/kazakhstan/irina-smolnikova-14288714,3:00:31,Irina SMOLNIKOVA,122
maratonafem2016,CHI,https://www.worldathletics.org/athletes/chile/nataly-romero-jaramillo-14266817,3:01:29,Natalia ROMERO,123
maratonafem2016,PHI,https://www.worldathletics.org/athletes/philippines/mary-joy-tabal-14450573,3:02:27,Mary Joy TABAL,124
maratonafem2016,ARG,https://www.worldathletics.org/athletes/argentina/viviana-chávez-14484217,3:03:23,Viviana CHÁVEZ,125
maratonafem2016,RWA,https://www.worldathletics.org/athletes/rwanda/claudette-mukasakindi-14299953,3:05:57,Claudette MUKASAKINDI,126
maratonafem2016,TPE,https://www.worldathletics.org/athletes/chinese-taipei/yu-hsuan-chen-14383940,3:09:13,Yu-Hsuan CHEN,127
maratonafem2016,BRA,https://www.worldathletics.org/athletes/brazil/graciete-moreira-carneiro-14384085,3:09:15,Graciete SANTANA,128
maratonafem2016,SRI,https://www.worldathletics.org/athletes/sri-lanka/rajasekara-niluka-14300524,3:11:05,Niluka RAJASEKARA,129
maratonafem2016,THA,https://www.worldathletics.org/athletes/thailand/natthaya-thanaronnawat-14482310,3:11:31,Natthaya THANARONNAWAT,130
maratonafem2016,SGP,https://www.worldathletics.org/athletes/singapore/jie-shi-neo-14682527,3:15:18,Jie Shi NEO,131
maratonafem2016,KSA,https://www.worldathletics.org/athletes/saudi-arabia/sarah-attar-14539162,3:16:11,Sarah ATTAR,132
maratonafem2016,CAM,https://www.worldathletics.org/athletes/cambodia/nary-ly-14467075,3:20:20,Nary LY,133
maratonafem2016,ESP,https://www.worldathletics.org/athletes/spain/alessandra-aguilar-14262157,DNF,Alessandra AGUILAR,"(None,)"
maratonafem2016,ALG,https://www.worldathletics.org/athletes/algeria/souad-ait-salem-14272893,DNF,Souad AÏT SALEM,"(None,)"
maratonafem2016,COL,https://www.worldathletics.org/athletes/colombia/kellys-yesenia-arias-figueroa-14653359,DNF,Kellys ARIAS,"(None,)"
maratonafem2016,POR,https://www.worldathletics.org/athletes/portugal/jessica-augusto-14294784,DNF,Jessica AUGUSTO,"(None,)"
maratonafem2016,MAR,https://www.worldathletics.org/athletes/morocco/kawtar-boulaid-14335569,DNF,Koutar BOULAID,"(None,)"
maratonafem2016,ROU,https://www.worldathletics.org/athletes/romania/daniela-cîrlan-14295512,DNF,Daniela CÎRLAN,"(None,)"
maratonafem2016,FRA,https://www.worldathletics.org/athletes/france/christelle-daunay-14257893,DNF,Christelle DAUNAY,"(None,)"
maratonafem2016,BRN,https://www.worldathletics.org/athletes/bahrain/shitaye-eshete-14383158,DNF,Shitaye ESHETE,"(None,)"
maratonafem2016,SLO,https://www.worldathletics.org/athletes/slovenia/daneja-grandovec-14300125,DNF,Daneja GRANDOVEC,"(None,)"
maratonafem2016,ITA,https://www.worldathletics.org/athletes/italy/anna-incerti-14284533,DNF,Anna INCERTI,"(None,)"
maratonafem2016,BLR,https://www.worldathletics.org/athletes/belarus/nastassia-ivanova-14269599,DNF,Nastassia IVANOVA,"(None,)"
maratonafem2016,SRB,https://www.worldathletics.org/athletes/serbia/olivera-jevtić-14300350,DNF,Olivera JEVTIC,"(None,)"
maratonafem2016,KEN,https://www.worldathletics.org/athletes/kenya/helah-jelagat-kiprop-14289150,DNF,Helah Jelagat KIPROP,"(None,)"
maratonafem2016,POL,https://www.worldathletics.org/athletes/poland/katarzyna-kowalska-14293933,DNF,Katarzyna KOWALSKA,"(None,)"
maratonafem2016,EST,https://www.worldathletics.org/athletes/estonia/liina-luik-14434340,DNF,Liina LUIK,"(None,)"
maratonafem2016,PER,https://www.worldathletics.org/athletes/peru/inés-melchor-14293292,DNF,Inés MELCHOR,"(None,)"
maratonafem2016,POR,https://www.worldathletics.org/athletes/portugal/sara-moreira-14294989,DNF,Sara MOREIRA,"(None,)"
maratonafem2016,ESP,https://www.worldathletics.org/athletes/spain/estela-navascues-14260904,DNF,Estela NAVASCUÉS,"(None,)"
maratonafem2016,ARG,https://www.worldathletics.org/athletes/argentina/maría-de-los-angeles-peralta-14272611,DNF,María PERALTA,"(None,)"
maratonafem2016,MNE,https://www.worldathletics.org/athletes/montenegro/sladana-perunović-14383719,DNF,Sladana PERUNOVIC,"(None,)"
maratonafem2016,ISR,https://www.worldathletics.org/athletes/israel/lonah-chemtai-salpeter-14523502,DNF,Lonah Chemtai SALPETER,"(None,)"
maratonafem2016,ETH,https://www.worldathletics.org/athletes/ethiopia/tigist-tufa-14260337,DNF,Tigist TUFA,"(None,)"
maratonafem2016,KAZ,https://www.worldathletics.org/athletes/kazakhstan/gulzhanat-zhanatbek-14427040,DNF,Gulzhanat ZHANATBEK,"(None,)"
maratonafem2016,RSA,https://www.worldathletics.org/athletes/south-africa/irvette-van-zyl-14296979,DNS,Irvette VAN ZYL,"(None,)"
